SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2015,Male,57.98
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2015,Female,62.96
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2010,Both sexes,56.62
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2010,Male,54.81
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2010,Female,58.94
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2000,Both sexes,50.33
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2000,Male,48.94
WHO,10/17/2023 10:01,Africa,Côte d’Ivoire,2000,Female,52.31
WHO,10/17/2023 10:01,Africa,Cameroon,2019,Both sexes,62.36
WHO,10/17/2023 10:01,Africa,Cameroon,2019,Male,60.29
WHO,10/17/2023 10:01,Africa,Cameroon,2019,Female,64.5
WHO,10/17/2023 10:01,Africa,Cameroon,2015,Both sexes,59.11
WHO,10/17/2023 10:01,Africa,Cameroon,2015,Male,57.29
WHO,10/17/2023 10:01,Africa,Cameroon,2015,Female,60.99
WHO,10/17/2023 10:01,Africa,Cameroon,2010,Both sexes,56.58
WHO,10/17/2023 10:01,Africa,Cameroon,2010,Male,55.09
WHO,10/17/2023 10:01,Africa,Cameroon,2010,Female,58.09
WHO,10/17/2023 10:01,Africa,Cameroon,2000,Both sexes,52.82
WHO,10/17/2023 10:01,Africa,Cameroon,2000,Male,51.34
WHO,10/17/2023 10:01,Africa,Cameroon,2000,Female,54.35
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2019,Both sexes,62.35
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2019,Male,60
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2019,Female,64.82
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2015,Both sexes,60.44
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2015,Male,58.25
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2015,Female,62.73
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2010,Both sexes,57.51
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2010,Male,55.65
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2010,Female,59.42
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2000,Both sexes,52.44
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2000,Male,50.46
WHO,10/17/2023 10:01,Africa,Democratic Republic of the Congo,2000,Female,54.49
WHO,10/17/2023 10:01,Africa,Congo,2019,Both sexes,64.74
WHO,10/17/2023 10:01,Africa,Congo,2019,Male,63.81
WHO,10/17/2023 10:01,Africa,Congo,2019,Female,65.61
WHO,10/17/2023 10:01,Africa,Congo,2015,Both sexes,63.11
WHO,10/17/2023 10:01,Africa,Congo,2015,Male,62.56
WHO,10/17/2023 10:01,Africa,Congo,2015,Female,63.59
WHO,10/17/2023 10:01,Africa,Congo,2010,Both sexes,60.95
WHO,10/17/2023 10:01,Africa,Congo,2010,Male,60.99
WHO,10/17/2023 10:01,Africa,Congo,2010,Female,60.85
WHO,10/17/2023 10:01,Africa,Congo,2000,Both sexes,52.12
WHO,10/17/2023 10:01,Africa,Congo,2000,Male,51.54
WHO,10/17/2023 10:01,Africa,Congo,2000,Female,52.58
WHO,10/17/2023 10:01,Africa,Comoros,2019,Both sexes,67.39
WHO,10/17/2023 10:01,Africa,Comoros,2019,Male,65.92
WHO,10/17/2023 10:01,Africa,Comoros,2019,Female,68.88
WHO,10/17/2023 10:01,Africa,Comoros,2015,Both sexes,66.45
WHO,10/17/2023 10:01,Africa,Comoros,2015,Male,65.07
WHO,10/17/2023 10:01,Africa,Comoros,2015,Female,67.84
WHO,10/17/2023 10:01,Africa,Comoros,2010,Both sexes,64.98
WHO,10/17/2023 10:01,Africa,Comoros,2010,Male,63.6
WHO,10/17/2023 10:01,Africa,Comoros,2010,Female,66.35
WHO,10/17/2023 10:01,Africa,Comoros,2000,Both sexes,61.51
WHO,10/17/2023 10:01,Africa,Comoros,2000,Male,60.15
WHO,10/17/2023 10:01,Africa,Comoros,2000,Female,62.86
WHO,10/17/2023 10:01,Africa,Cabo Verde,2019,Both sexes,74.03
WHO,10/17/2023 10:01,Africa,Cabo Verde,2019,Male,69.9
WHO,10/17/2023 10:01,Africa,Cabo Verde,2019,Female,77.94
WHO,10/17/2023 10:01,Africa,Cabo Verde,2015,Both sexes,74.88
WHO,10/17/2023 10:01,Africa,Cabo Verde,2015,Male,72.18
WHO,10/17/2023 10:01,Africa,Cabo Verde,2015,Female,77.59
WHO,10/17/2023 10:01,Africa,Cabo Verde,2010,Both sexes,74.12
